accession_id	contact_city	contact_country	contact_institute	available_date	last_update_date	overall_design	summary	platform_id	publishing_platform	title	experiment_type
GSE12276	Rotterdam	Netherlands	Erasmus Medical Centre	Public on Jun 13 2009	Jul 26 2022	204 primary tumors from breast cancer patients with known site of relapse were studied, focussing on brain relapse versus other relapse. Identified genes were validated in this cohort.	Brain metastasis is one of the most feared complications of cancer and the most common intracranial malignancy in adults. Its underlying mechanisms remain unknown. From breast cancer patients with metastatic disease we isolated cell populations that aggressively colonize the brain. Transcriptomic analysis of these cells yielded overlapping gene sets whose expression is selectively associated with brain metastasis. The expression of seventeen of these genes in primary breast tumors is associated with brain relapse in breast cancer patients. Some of these genes are also associated with metastasis to lung but not to liver, bone or lymph nodes, providing a molecular basis for the long-observed link between brain and lung metastasis. Among the functionally validated brain metastasis genes, the cyclooxigenase COX-2, the EGFR ligand HB-EGF, and the brain-specific  2-6 sialyltransferase ST6GALNAC5 mediate cancer cell passage through the blood-brain barrier. Other brain metastasis genes encode inflammatory factors and brain-specific proteolytic regulators, suggesting a multifaceted program for breast cancer colonization of the brain. +  + Keywords: Disease state comparison	GPL570	GEO	Expression data from primary breast tumors	Expression profiling by array
GSE12763	South San Francisco	USA	Genentech	Public on Jan 12 2009	Mar 25 2019	RNA from SNAP frozen human tumor biopsies was analyzed on Affymetrix mircroarrays	We used microarrays to profile 30 human primary breast tumors and determine global gene expression patterns and molecular subtypes +  + Keywords: Basal gene expression in human tumor samples	GPL570	GEO	Gene expression profiling of 30 human breast cancers	Expression profiling by array
GSE13787	Paris	France	Institut Curie	Public on Dec 03 2008	Aug 19 2019	The PI3K pathway was examined in 2 populations of highly proliferative, grade III, hormone receptor-negative invasive breast carcinomas. Twelve basal-like carcinomas were selected by immunohistochemistry (lack of ER, PR and HER2 staining and expression of basal cytokeratin 5/6 and/or CK14 and/or EGFR). The comparison series was composed of eleven patients with ER-/PR- and HER2+ tumors.	Introduction + Basal-like (BLCs) and epidermal growth factor receptor 2 overexpressing (HER2+) carcinomas are the subgroups of breast cancers which have the more aggressive clinical behavior. In contrast to HER2+ carcinomas, no targeted therapy is currently available for the treatment of patients with BLCs. In order to discover potential therapeutic targets, we searched for deregulated signaling pathways in human BLCs. +  + Methods + In this study, we focused on the oncogenic phosphatidylinositol 3-kinase (PI3K) pathway in twelve BLCs, and compared it to a control series of eleven hormonal receptor negative- and grade III- matched HER2+ carcinomas. The two tumor populations were first characterized by immunohistochemistry and gene expression. The PI3K pathway was then investigated by gene copy-number analysis, gene expression profiling and at a proteomic level using reverse phase protein array technology and tissue microarray. The effects of PI3K inhibition pathway on proliferation and apoptosis was further analyzed in three human basal-like cell lines. +  + Results + The PI3K pathway was found to be activated in BLCs and up-regulated compared to HER2+ tumors as shown by a significantly increased activation of the downstream targets Akt and mTOR. BLCs expressed significantly lower levels of the tumor suppressor PTEN and PTEN levels correlated negatively in a significant manner with Akt activity within that population. PTEN protein expression correlated significantly with PTEN DNA copy number and more importantly, reduced PTEN DNA copy numbers were observed specifically in BLCs. Similarly to human samples, basal-like cell lines exhibited an activation of PI3K / Akt pathway and low/lack PTEN expression.  Both PI3K and mTOR inhibitors led to basal-like cell growth arrest. However, apoptosis was observed specifically after PI3K inhibition.	GPL570	GEO	Frequent PTEN genomic alterations and activated PI3K pathway in basal-like breast cancer	Expression profiling by array
GSE14017	Houston	USA	Baylor College of Medicine	Public on May 01 2009	Mar 25 2019	58 breast cancer metastases from different organs were  profiled and compared by the expression level of over 400 cytokines. 29 samples were incuded in this series. 29 others as well as 7 in the present series were profiled on U133A platforms and included in series GSE14018.	Comparisons among breast cancer metastases at different organs revealed distinct microenvironments as characterized by cytokine content. + Such microenvironment distinction might be important to dictate how the cancer cells adapt to survival before they successfully colonize. +  + Keywords: Disease state analyses	GPL570	GEO	Metastases of breast cancer (U133plus2)	Expression profiling by array
GSE14018	Houston	USA	Baylor College of Medicine	Public on May 01 2009	Aug 10 2018	58 breast cancer metastases from different organs were  profiled and compared by the expression level of over 400 cytokines. 36 samples were incuded in this series. 22 others as well as 7 of these 36 were profiled on U133plus2 platforms and included in series GSE14017.	Comparisons among breast cancer metastases at different organs revealed distinct microenvironments as characterized by cytokine content. + Such microenvironment distinction might be important to dictate how the cancer cells adapt to survival before they successfully colonize. +  + Keywords: Disease state analyses	GPL96	GEO	Metastases of breast cancer (U133A)	Expression profiling by array
GSE1456	Stockholm	Sweden	Karolinska Institutet	Public on May 31 2006	Sep 26 2019	All tumor specimens were assessed on U133 A and B arrays.	Tissue material was collected from all breast cancer patients receiving surgery at Karolinska Hospital from 1994-1996. Material was frozen immediatley on dry ice or in liquid nitrogen and stored in -70°C freezers. This series contains expression data for n=159 tumors from which RNA could be collected in sufficient amounts and quality for analysis. + Keywords: breast cancer, expression profiling, predictive gene signature, molecular classification of cancecr	GPL96 + GPL97	GEO	Gene expression of breast cancer tissue in a large population-based cohort of Swedish patients	Expression profiling by array
GSE1561	Bordeaux	France	University of Bordeaux	Public on Jun 01 2005	Aug 10 2018	NA	EORTC 10994 is a phase III clinical trial comparing FEC with ET in patients with large operable, locally advanced or inflammatory breast cancer (www.eortc.be). Frozen biopsies were taken at randomisation. RNA was extracted from 100um thickness of 14G core needle biopsies. Adjacent sections were tested by H&E to confirm >20% tumour cell content. 100 ng total RNA per chip were amplified using the Affymetrix small sample protocol (IVT then Enzo). 49 tumours were tested on Affymetrix U133A chips. The CEL files were quantile normalised together using rma. Clinical response data are not available yet. + Keywords Apocrine carcinoma + Keywords breast cancer	GPL96	GEO	EORTC 10994 clinical trial	Expression profiling by array
GSE16391	Toronto	Canada	Princess Margaret Cancer Centre	Public on Jul 09 2009	Jun 06 2022	Test whether the Gene expression Grade Index (GGI) is a potential predictor of relapse for endocrine-treated breast cancer patients in the BIG 1-98 trial. +  + 55 microarray experiments from primary breast tumors of endocrine-treated patients. +  + No replicate, no reference sample.	Background: We have previously shown that the Gene expression Grade Index (GGI) was able to identify two subtypes of estrogen receptor (ER)-positive tumors that were associated with statistically distinct clinical outcomes in both untreated and tamoxifen-treated patients. Here, we aim to investigate the ability of the GGI to predict relapses in postmenopausal women who were treated with tamoxifen (T) or letrozole (L) within the BIG 1-98 trial.  + Methods: We generated gene expression profiles (Affymetrix) and computed the GGI for a matched, case-control sample of patients enrolled in the BIG 1-98 trial from the two hospitals where frozen samples were available. All relapses (cases) were identified from patients randomized to receive monotherapy or from the switching treatment arms for whom relapse occurred before the switch.  Each case was randomly matched with four controls based upon nodal status and treatment (T or L).  The prognostic value of GGI was assessed as a continuous predictor and divided at the median.  Predictive accuracy of GGI was estimated using time-dependent area under the curve (AUC) of the ROC curves.  + Results:  Frozen samples were analyzable for 48 patients (10 cases and 38 controls).  Seven of the 10 cases had been assigned to receive L. Cases and controls were comparable with respect to menopausal and nodal status, local and chemotherapy, and HER2 positivity. Cases were slightly older than controls and had a larger proportion of large, poorly differentiated ER+/PgR- tumors.  The GGI was significantly and linearly related to risk of relapse: each 10-unit increase in GGI resulted in an increase of approximately 11% in the hazard rate (p=0.02).  Within the subgroups of patients with node-positive disease or who were treated with L, the hazard of relapse was significantly greater for patients with GGI at or above the median. AUC reached a maximum of 78% at 27 months. + Conclusions: This analysis supports the GGI as a good predictor of relapse for ER-positive patients, even among patients who receive L.  Validation of these results, in a larger series from BIG 1-98, is planned using the simplified GGI represented by a smaller set of genes and tested by qRT-PCR on paraffin-embedded tissues. 	GPL570	GEO	GGI: a potential predictor of relapse for endocrine-treated breast cancer patients in the BIG 1-98 trial	Expression profiling by array
GSE16446	Toronto	Canada	Princess Margaret Cancer Centre	Public on Jan 26 2010	Jun 06 2022	Predicting the efficacy of anthracyclines (epirubicin) in breast cancer (BC) patients (TOP trial) +  + 120 microarray experiments from primary ER-negative breast tumors of anthracycline-treated patients. +  + No replicate, no reference sample.	PURPOSE: Validated biomarkers predictive of response/resistance to anthracyclines in breast cancer are currently lacking. The neoadjuvant TOP trial, in which patients with estrogen receptor (ER)-negative tumors were treated with anthracycline (epirubicin) monotherapy, was specifically designed to evaluate the predictive value of topoisomerase IIα (TOP2A) and to develop a gene expression signature to identify those patients who do not benefit from anthracyclines.   +  + METHODS: The TOP trial included 149 patients, of which 141 were evaluable for response prediction analyses. The primary endpoint was pathological complete response (pCR). TOP2A and gene expression profiles were evaluated using pre-epirubicin biopsies. Gene expression data from ER-negative samples of the EORTC 10994/BIG 00-01 and MDACC 2003-0321 neoadjuvant trials were used for validation purposes. +  + RESULTS: A pCR was obtained in 14% of the evaluable TOP patients. TOP2A amplification, but not protein overexpression, was significantly associated with pCR (p=0.001 and 0.22). We developed an “anthracycline-based score (A-Score)” that combines three signatures: a TOP2A gene signature and two previously published signatures related to tumor invasion and immune response. The A-Score was characterized by a high negative predictive value (NPV=0.98 [95% CI: 0.90-1.00]) overall, and in the HER2-negative and HER2-positive subpopulations. Its performance was independently confirmed in the anthracycline-based (FAC/FEC) arms of the two validation trials (BIG 00-01: 0.80 [0.61-0.92] and MDACC 2003-0321: 1.00 [0.80-1.00]). +  + CONCLUSION: Given its high NPV, the A-Score could become, if further validated, a useful clinical tool to identify those patients who do not benefit from anthracyclines and could therefore be spared the non-negligible side effects.	GPL570	GEO	Multifactorial Approach to Predicting Resistance to Anthracyclines	Expression profiling by array
GSE167213	Halle (Saale)	Germany	Martin-Luther-University Halle-Wittenberg	Public on Jul 31 2021	Feb 02 2022	Molecular subtyping was performed in 124 TNBC tumours that were obtained from a prospective, multicentre cohort including 1,270 histopathologically confirmed invasive, non-metastatic breast cancers (NCT 01592825).	Triple-negative breast cancer (TNBC) is considered the most aggressive type of breast cancer with limited options for therapy. TNBC is a heterogeneous disease and tumours has been classified into TNBC subtypes using gene expression profiling to distinguish basal-like1 (BL1), basal-like2 (BL2), immunomodulatory (IM), mesenchymal (M), mesenchymal/stem-like (MSL), luminal androgen receptor (LAR) and one non-classifiable group (called unstable, UNS). + The aim of this study was to verify the clinical relevance of molecular subtyping of TNBCs by expression analysis to improve the individual indication of systemic therapy.	GPL570	GEO	Identifying High-Risk Triple-Negative Breast Cancer Patients by Molecular Subtyping	Expression profiling by array
GSE16873	Boston	USA	Boston University Medical Center	Public on Sep 08 2009	Dec 23 2019	Forty total samples were analyzed via Affymetrix U133A. Patient age ranged from 48-92. Case numbers correspond to individual patients. Each sample is identified by case number, histologic lesion and corresponding microarray ID.	Proliferative breast lesions, such as simple ductal hyperplasia (SH) and atypical ductal hyperplasia (ADH), are candidate precursors to ductal carcinoma in situ (DCIS) and invasive cancer. To better understand their relationship to more advanced disease, we used microdissection and DNA microarrays to profile the gene expression of patient-matched histologically normal (HN), ADH, and DCIS from 12 patients with ER+ sporadic breast cancer. SH were profiled from a subset of cases. We found 837 differentially expressed genes between DCIS-HN and 447 between ADH-HN, with >90% of the ADH-HN genes also present among the DCIS-HN genes. Only 61 genes were identified between ADH-DCIS. Expression differences were reproduced in an independent cohort of patient-matched lesions by qRT-PCR. Many breast cancer-related genes and pathways were dysregulated in ADH and maintained in DCIS. Particularly, cell adhesion and extracellular matrix (ECM) interactions were overrepresented. Focal adhesion was the top pathway in each gene set. We conclude that ADH and DCIS share highly similar gene expression and are distinct from HN. In contrast, SH appear more similar to HN. These data provide genetic evidence that ADH (but not SH) are often precursors to cancer and suggest cancer-related genetic changes, particularly adhesion and ECM pathways, are dysregulated prior to invasion and even before malignancy is apparent. These findings could lead to novel risk stratification, prevention, and treatment approaches. + Patient-matched (HN, SH, ADH, DCIS) samples were isolated from within patients with ER+ sporadic breast cancers via laser capture microdissection.  Use of patient-matched samples decreases between patient variations.	GPL96	GEO	Early Dysregulation of Cell Adhesion and Extracellular Matrix Pathways in Breast Cancer Progression	Expression profiling by array
GSE17705	Woburn	USA	Nuvera Biosciences	Public on Aug 13 2010	Aug 10 2018	Tissue samples were processed and profiled by two different labs (MD Anderson Cancer Center and Jules Bordet Institute).	Validation dataset of 298 ER-positive patients treated with tamoxifen for 5 years. +  + All patients in this dataset have ER+ breast cancer and were uniformly treated with tamoxifen for 5 years. The objective of the study was to correlate levels of genomic markers to outcomes (relapse free survival) in this cohort of uniformly treated patients.	GPL96	GEO	Endocrine Sensitivity Index Validation Dataset	Expression profiling by array
GSE17907	Marseille	France	Institut Paoli-Calmettes	Public on Sep 02 2009	Mar 25 2019	Tumor tissues were collected from 340 patients with invasive adenocarcinoma who underwent initial surgery at the Institut Paoli-Calmettes (Marseilles, France) between 1987 and 2007 (from a cohort of 2,175 patients with frozen tumor sample) and from a series of 91 Tunisian T4d tumors (TNM, UICC) treated between 1994 and 1998 at the Salah Azaiz Institute (Tunis, Tunisia). Each patient gave informed consent and the study was approved by our institutional review board. Samples were macrodissected and frozen in liquid nitrogen within 30 minutes of removal. Genomic imbalances were determined by aCGH using 244K CGH oligonucleotide microarrays (Hu-244A, Agilent Technologies). Gene expression data of 51 of the 54 BCs and 4 normal breast (NB) samples (NB1, NB2, NB3 and NB4, representing samples from 4 women and 3 commercial pools of respectively 1, 2 and 4 normal breast RNA, Clontech, Palo Alto, CA) were quantified by using whole-genome DNA microarrays (HG-U133 plus 2.0, Affymetrix).	15-25% of breast cancers (BC) show ERBB2-amplification and overexpression of the encoded ERBB2 tyrosine kinase receptor. They are associated with a poor prognosis but can benefit from targeted therapy. A better knowledge of these BCs may help understand their behavior and design new therapeutic strategies. In this study, we defined the high resolution genome and gene expression profiles of 54 ERBB2-amplified BCs using 244K oligonucleotide array-comparative genomic hybridization and whole-genome DNA microarrays.   We first identified the ERBB2-C17orf37-GRB7 genomic segment as the minimal common amplicon, and CRKRS and IKZF3 as the most frequent centromeric and telomeric amplicon borders, respectively. Second, we identified 17 genome regions affected by copy number aberration (CNA). The expression of 37 genes of these regions was deregulated. Third, two types of heterogeneity were observed in ERBB2-amplified BCs. The genomic profiles of estrogen receptor-postive (ER+) and negative (ER-) ERBB2-amplified BCs were different. The WNT/ß-catenin signaling pathway was involved in ER- ERBB2-amplified BCs, and PVT1 and TRPS1 were candidate oncogenes associated with ER+ ERBB2-amplified BCs. The size of the ERBB2-amplicon was different in inflammatory (IBC) and non inflammatory BCs. ERBB2-amplified IBCs were characterized by the downregulated and upregulated mRNA expression of ten and two genes in proportion to CNA, respectively.  We have shown that ERBB2 BCs are heterogeneous and identified genomic features that may be useful in the design of therapeutical strategies	GPL570 + GPL9128	GEO	Molecular profiling of ERBB2-amplified breast cancers	Expression profiling by array + Genome variation profiling by array
GSE18728	Seattle	USA	University of Washington	Public on Oct 30 2009	Jun 06 2022	The analysis of baseline gene expression included baseline specimens from twenty-eight patients:  11 responders and 17 non-responders.  Analyses of changes in gene expression included paired baseline and post-cycle 1 specimens from 14 patients; of these 6 patients were responders and 8 patients were non-responders.	Neoadjuvant chemotherapy has been shown to be equivalent to post-operative treatment for breast cancer, and allows for assessment of chemotherapy response.  In a pilot trial of docetaxel (T) and capecitabine (X) neoadjuvant chemotherapy for Stage II/III BC, we assessed correlation between baseline gene expression and tumor response to treatment, and examined changes in gene expression associated with treatment.  Patients received 4 cycles of TX. Tumor tissue obtained from Mammotome™ core biopsies pretreatment (BL) and post-Cycle 1 (C1) of TX was flash frozen and stored at -70C until processing. Gene expression analysis utilized Affymetrix HG-U133 Plus 2.0 GeneChip arrays. Statistical analysis was performed using BRB Array Tools after RMA normalization. Gene ontology (GO) pathway analysis used random variance t-tests with a significance level of p<0.005.  For gene categories identified by GO pathway analysis as significant, expression levels of individual genes within those pathways were compared between classes using univariate t-tests; those genes with significance level of p<0.05 were reported.	GPL570	GEO	Expression data from human breast cancers pre and post chemothrapy	Expression profiling by array
GSE18864	Lyngby	Denmark	Technical University of Denmark	Public on Nov 04 2009	Mar 25 2019	Pretreatment tumor samples from the clinical trial (N=24 with adequate tissue) were used for RNA extraction, linear amplification, biotin labeling and hybridization to Affymetrix U133 plus 2.0 arrays.  A reference set of 51 primary breast tumors representing all subtypes of breast cancer were processed in a similar manner to include linear amplification, and hybridized to Affymetrix arrays.	Evidence suggests that BRCA1 mutation associated tumors have increased sensitivity to DNA damaging agents like cisplatin.  Sporadic triple negative breast cancers (TNBC) have many phenotypic similarities to BRCA1 tumors and may have a similar sensitivity to cisplatin.  We tested the efficacy of cisplatin monotherapy in 28 TNBC patients in a single arm neoadjuvant trial with outcome measured by pathologic treatment response quantified using the Miller-Payne scale. + We used microarrays gene expression profiles to determine tumor subtype of each trial tumor sample and to test various expression signatures for association with pathologic response to cisplatin.	GPL570	GEO	Tumor expression data from neoadjuvant trial of cisplatin monotherapy in triple negative breast cancer patients	Expression profiling by array
